     	!=    	(    	)    	*    	+    	,    	-    	;    	<    	<=    	=    	==    	>    	>=    	[    	]    	and   	call   	digit  	do    	else   	false  	id    	if    integer 	not   	num   	or    	proc   	real   record  	then   	true   	while  	#    	B    	C    	D    	E    	Elist  	L    	P    	P'    	S    	S1    	S2    	T    	X    	relop  
0    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	s434   	      	      	      	      	s416   	s463   	s402   	      	      	      	s4    	s403   	s342   	      	      	s430   	      	      	      	2    	      	      	420   	1    	      	414   	      	      	411   	336   	      	
48    	      	      	      	s38   	s36   	      	      	      	      	      	      	      	      	      	      	s49   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
49    	      	      	r23   	r23   	r23   	      	      	      	      	      	      	      	      	      	r23   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
50    	      	      	      	r19   	r19   	      	      	      	      	      	      	      	      	      	s51   	r19   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
51    	      	s42   	      	      	      	      	s40   	      	      	      	      	      	      	      	      	      	      	      	s54   	      	      	      	s50   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	52    	      	55    	      	      	      	      	      	      	      	      	
52    	      	      	      	s38   	s36   	      	      	      	      	      	      	      	      	      	      	s53   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
53    	      	      	      	r22   	r22   	      	      	      	      	      	      	      	      	      	r22   	r22   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
54    	      	      	      	r20   	r20   	      	      	      	      	      	      	      	      	      	      	r20   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
55    	      	      	      	r21   	r21   	      	      	      	      	      	      	      	      	      	s56   	r21   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
56    	      	s42   	      	      	      	      	s40   	      	      	      	      	      	      	      	      	      	      	      	s54   	      	      	      	s50   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	57    	      	55    	      	      	      	      	      	      	      	      	
57    	      	      	      	s38   	s36   	      	      	      	      	      	      	      	      	      	      	s58   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
58    	      	      	      	r23   	r23   	      	      	      	      	      	      	      	      	      	r23   	r23   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
59    	      	      	      	r19   	r19   	      	      	r19   	      	      	      	      	      	      	s60   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
60    	      	s42   	      	      	      	      	s40   	      	      	      	      	      	      	      	      	      	      	      	s54   	      	      	      	s50   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	61    	      	55    	      	      	      	      	      	      	      	      	
61    	      	      	      	s38   	s36   	      	      	      	      	      	      	      	      	      	      	s62   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
62    	      	      	      	r22   	r22   	      	      	r22   	      	      	      	      	      	      	r22   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
63    	      	      	      	r20   	r20   	      	      	r20   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
64    	      	      	      	r21   	r21   	      	      	r21   	      	      	      	      	      	      	s65   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
65    	      	s42   	      	      	      	      	s40   	      	      	      	      	      	      	      	      	      	      	      	s54   	      	      	      	s50   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	66    	      	55    	      	      	      	      	      	      	      	      	
66    	      	      	      	s38   	s36   	      	      	      	      	      	      	      	      	      	      	s67   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
67    	      	      	      	r23   	r23   	      	      	r23   	      	      	      	      	      	      	r23   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
68    	      	s42   	      	      	      	      	s40   	      	      	      	      	      	      	      	      	      	      	      	s54   	      	      	      	s50   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	69    	      	55    	      	      	      	      	      	      	      	      	
69    	      	      	      	s38   	s36   	      	      	      	      	      	      	      	      	      	      	s70   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
70    	      	      	      	      	      	      	      	      	      	      	r22   	      	      	      	r22   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
71    	      	      	      	      	      	      	      	      	      	      	s72   	      	      	      	s75   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
72    	      	s20   	      	      	      	      	s18   	      	      	      	      	      	      	      	      	      	      	      	s63   	      	      	      	s59   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	73    	      	64    	      	      	      	      	      	      	      	      	
73    	      	      	      	s16   	s14   	      	      	s74   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
74    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	r14   	      	      	      	      	r14   	r14   	r14   	      	      	      	r14   	r14   	r14   	      	      	r14   	r14   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
75    	      	s42   	      	      	      	      	s40   	      	      	      	      	      	      	      	      	      	      	      	s54   	      	      	      	s50   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	76    	      	55    	      	      	      	      	      	      	      	      	
76    	      	      	      	s38   	s36   	      	      	      	      	      	      	      	      	      	      	s77   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
77    	      	      	      	      	      	      	      	      	      	      	r23   	      	      	      	r23   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
78    	      	s253   	      	      	      	      	s187   	      	      	      	      	      	      	      	      	      	      	      	s195   	      	      	s278   	s191   	      	      	s251   	      	      	      	      	      	      	s277   	      	      	79    	      	      	256   	      	196   	      	      	      	      	      	      	      	      	
79    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	s249   	      	      	      	      	      	      	      	      	      	      	s247   	      	      	      	s80   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
80    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	s242   	      	      	      	      	s224   	s232   	      	      	      	      	      	      	      	      	      	s238   	      	      	      	      	      	      	228   	      	      	81    	      	      	      	      	      	
81    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	s242   	      	      	s82   	      	s224   	s232   	r24   	      	      	      	r24   	r24   	r24   	      	      	s238   	r24   	      	      	      	      	      	228   	      	      	223   	      	      	      	      	      	
82    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	s88   	      	      	      	      	s10   	s78   	      	      	      	      	      	      	      	      	      	s84   	      	      	      	      	      	      	71    	      	      	83    	      	      	      	      	      	
83    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	s88   	      	      	      	      	s10   	s78   	r25   	      	      	      	r25   	r25   	r25   	      	      	s84   	r25   	      	      	      	      	      	71    	      	      	9    	      	      	      	      	      	
84    	      	s120   	      	      	      	      	s187   	      	      	      	      	      	      	      	      	      	      	      	s195   	      	      	s222   	s191   	      	      	s118   	      	      	      	      	      	      	s221   	      	      	85    	      	      	200   	      	196   	      	      	      	      	      	      	      	      	
85    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	s116   	      	      	s86   	      	      	      	      	      	      	      	s114   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
86    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	s88   	      	      	      	      	s10   	s78   	      	      	      	      	      	      	      	      	      	s84   	      	      	      	      	      	      	71    	      	      	87    	      	      	      	      	      	
87    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	s88   	      	      	      	      	s10   	s78   	r26   	      	      	      	r26   	r26   	r26   	      	      	s84   	r26   	      	      	      	      	      	71    	      	      	9    	      	      	      	      	      	
88    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	s89   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
89    	      	s90   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
90    	      	s101   	      	      	      	      	s99   	      	      	      	      	      	      	      	      	      	      	      	s108   	      	      	      	s104   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	113   	91    	109   	      	      	      	      	      	      	      	      	
91    	      	      	s92   	      	      	s93   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
92    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	r40   	      	      	      	      	r40   	r40   	r40   	      	      	      	r40   	r40   	r40   	      	      	r40   	r40   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
93    	      	s101   	      	      	      	      	s99   	      	      	      	      	      	      	      	      	      	      	      	s108   	      	      	      	s104   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	94    	      	109   	      	      	      	      	      	      	      	      	
94    	      	      	r41   	s97   	s95   	r41   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
95    	      	s101   	      	      	      	      	s99   	      	      	      	      	      	      	      	      	      	      	      	s108   	      	      	      	s104   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	96    	      	109   	      	      	      	      	      	      	      	      	
96    	      	      	r15   	s97   	s95   	r15   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
97    	      	s101   	      	      	      	      	s99   	      	      	      	      	      	      	      	      	      	      	      	s108   	      	      	      	s104   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	98    	      	109   	      	      	      	      	      	      	      	      	
98    	      	      	r16   	s97   	s95   	r16   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
99    	      	s101   	      	      	      	      	s99   	      	      	      	      	      	      	      	      	      	      	      	s108   	      	      	      	s104   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	100   	      	109   	      	      	      	      	      	      	      	      	
100   	      	      	r17   	s97   	s95   	r17   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
